"id","cest"
"586","20.046.00"
"587","20.047.00"
"588","20.048.00"
"589","20.049.00"
"590","20.050.00"
"591","20.051.00"
"592","20.052.00"
"593","20.053.00"
"594","20.054.00"
"595","20.055.00"
"596","20.056.00"
"597","20.057.00"
"598","20.058.00"
"599","20.059.00"
"600","20.060.00"
"601","20.061.00"
"602","20.062.00"
"603","20.063.00"
"604","21.001.00"
"605","21.002.00"
"606","21.003.00"
"607","21.004.00"
"608","21.005.00"
"609","21.006.00"
"610","21.007.00"
"611","21.008.00"
"612","21.009.00"
"613","21.010.00"
"614","21.011.00"
"615","21.012.00"
"616","21.013.00"
"617","21.014.00"
"618","21.015.00"
"619","21.016.00"
"620","21.017.00"
"621","21.018.00"
"622","21.019.00"
"623","21.020.00"
"624","21.021.00"
"625","21.022.00"
"626","21.023.00"
"627","21.024.00"
"628","21.025.00"
"629","21.026.00"
"630","21.027.00"
"631","21.028.00"
"632","21.029.00"
"633","21.030.00"
"634","21.031.00"
"635","21.032.00"
"636","21.033.00"
"637","21.034.00"
"638","21.035.00"
"639","21.036.00"
"640","21.037.00"
"641","21.038.00"
"642","21.039.00"
"643","21.040.00"
"644","21.041.00"
"645","21.042.00"
"646","21.043.00"
"647","21.044.00"
"648","21.045.00"
"649","21.046.00"
"650","21.047.00"
"651","21.048.00"
"652","21.049.00"
"653","21.050.00"
"654","21.051.00"
"655","21.052.00"
"656","21.053.00"
"657","21.054.00"
"658","21.055.00"
"659","21.056.00"
"660","21.057.00"
"661","21.058.00"
"662","21.059.00"
"663","21.060.00"
"664","21.061.00"
"665","21.062.00"
"666","21.063.00"
"667","21.064.00"
"668","21.065.00"
"669","21.066.00"
"670","21.067.00"
"671","21.068.00"
"672","21.069.00"
"673","21.070.00"
"674","21.071.00"
"675","21.072.00"
"676","21.073.00"
"677","21.074.00"
"678","21.075.00"
"679","21.076.00"
"680","21.077.00"
"681","21.078.00"
"682","21.079.00"
"683","21.080.00"
"684","21.081.00"
"685","21.082.00"
"686","21.083.00"
"687","21.084.00"
"688","21.085.00"
"689","21.086.00"
"690","21.087.00"
"691","21.088.00"
"692","21.089.00"
"693","21.090.00"
"694","21.091.00"
"695","21.092.00"
"696","21.093.00"
"697","21.094.00"
"698","21.095.00"
"699","21.096.00"
"700","21.097.00"
"701","21.098.00"
"702","21.099.00"
"703","21.100.00"
"704","21.101.00"
"705","21.102.00"
"706","21.103.00"
"707","21.104.00"
"708","21.105.00"
"709","21.106.00"
"710","21.107.00"
"711","21.108.00"
"712","21.109.00"
"713","21.110.00"
"714","21.111.00"
"715","21.112.00"
"716","21.113.00"
"717","21.114.00"
"718","21.115.00"
"719","21.116.00"
"720","21.117.00"
"721","21.118.00"
"722","21.119.00"
"723","21.120.00"
"724","21.121.00"
"725","21.122.00"
"726","22.001.00"
"727","23.001.00"
"728","23.002.00"
"729","24.001.00"
"730","24.002.00"
"731","25.001.00"
"732","25.002.00"
"733","25.003.00"
"734","25.004.00"
"735","25.005.00"
"736","25.006.00"
"737","25.007.00"
"738","25.008.00"
"739","25.009.00"
"740","25.010.00"
"741","25.011.00"
"742","25.012.00"
"743","25.013.00"
"744","25.014.00"
"745","25.015.00"
"746","25.016.00"
"747","25.017.00"
"748","25.018.00"
"749","25.019.00"
"750","25.020.00"
"751","25.021.00"
"752","26.001.00"
"753","27.001.00"
"754","27.002.00"
"755","27.003.00"
"756","27.004.00"
"757","28.001.00"
"758","28.002.00"
"759","28.003.00"
"760","28.004.00"
"761","28.005.00"
"762","28.006.00"
"763","28.007.00"
"764","28.008.00"
"765","28.009.00"
"766","28.010.00"
"767","28.011.00"
"768","28.012.00"
"769","28.013.00"
"770","28.014.00"
"771","28.015.00"
"772","28.016.00"
"773","28.017.00"
"774","28.018.00"
"775","28.019.00"
"776","28.020.00"
"777","28.021.00"
"778","28.022.00"
"779","28.023.00"
"780","28.024.00"
"781","28.025.00"
"782","28.026.00"
"783","28.027.00"
"784","28.028.00"
"785","28.029.00"
"786","28.030.00"
"787","28.031.00"
"788","28.032.00"
"789","28.033.00"
"790","28.034.00"
"791","28.035.00"
"792","28.036.00"
"793","28.037.00"
"794","28.038.00"
"795","28.039.00"
"796","28.040.00"
"797","28.041.00"
"798","28.042.00"
"799","28.043.00"
"800","28.044.00"
