"id","tipo","ncm","nacionalfederal","importadofederal","estadual","municipal","versao"
"207","0","3029000","4.20","9.89","7.00","0.00","16.2.B"
"208","0","3031100","4.20","9.89","7.00","0.00","16.2.B"
"209","0","3031200","4.20","9.89","7.00","0.00","16.2.B"
"210","0","3031300","4.20","9.89","7.00","0.00","16.2.B"
"211","0","3031400","4.20","9.89","7.00","0.00","16.2.B"
"212","0","3031900","4.20","9.89","7.00","0.00","16.2.B"
"213","0","3032300","4.20","9.89","7.00","0.00","16.2.B"
"214","0","3032410","4.20","9.89","7.00","0.00","16.2.B"
"215","0","3032490","4.20","9.89","7.00","0.00","16.2.B"
"216","0","3032500","4.20","9.89","7.00","0.00","16.2.B"
"217","0","3032600","4.20","9.89","7.00","0.00","16.2.B"
"218","0","3032900","4.20","9.89","7.00","0.00","16.2.B"
"219","0","3033100","4.20","9.89","7.00","0.00","16.2.B"
"220","0","3033200","4.20","9.89","7.00","0.00","16.2.B"
"221","0","3033300","4.20","9.89","7.00","0.00","16.2.B"
"222","0","3033400","4.20","9.89","7.00","0.00","16.2.B"
"223","0","3033900","4.20","9.89","7.00","0.00","16.2.B"
"224","0","3034100","4.20","9.89","7.00","0.00","16.2.B"
"225","0","3034200","4.20","9.89","7.00","0.00","16.2.B"
"226","0","3034300","4.20","9.89","7.00","0.00","16.2.B"
"227","0","3034400","4.20","9.89","7.00","0.00","16.2.B"
"228","0","3034500","4.20","9.89","7.00","0.00","16.2.B"
"229","0","3034600","4.20","9.89","7.00","0.00","16.2.B"
"230","0","3034900","4.20","9.89","7.00","0.00","16.2.B"
"231","0","3035100","4.20","9.89","7.00","0.00","16.2.B"
"232","0","3035300","4.20","6.99","7.00","0.00","16.2.B"
"233","0","3035400","4.20","9.89","7.00","0.00","16.2.B"
"234","0","3035500","4.20","9.89","7.00","0.00","16.2.B"
"235","0","3035600","4.20","9.89","7.00","0.00","16.2.B"
"236","0","3035700","4.20","9.89","7.00","0.00","16.2.B"
"237","0","3036300","4.20","6.20","7.00","0.00","16.2.B"
"238","0","3036400","4.20","9.89","7.00","0.00","16.2.B"
"239","0","3036500","4.20","9.89","7.00","0.00","16.2.B"
"240","0","3036600","4.20","9.89","7.00","0.00","16.2.B"
"241","0","3036700","4.20","9.89","7.00","0.00","16.2.B"
"242","0","3036800","4.20","9.89","7.00","0.00","16.2.B"
"243","0","3036910","4.20","9.89","7.00","0.00","16.2.B"
"244","0","3036990","4.20","9.89","7.00","0.00","16.2.B"
"245","0","3038111","4.20","9.89","7.00","0.00","16.2.B"
"246","0","3038112","4.20","9.89","7.00","0.00","16.2.B"
"247","0","3038113","4.20","9.89","7.00","0.00","16.2.B"
"248","0","3038114","4.20","9.89","7.00","0.00","16.2.B"
"249","0","3038119","4.20","9.89","7.00","0.00","16.2.B"
"250","0","3038190","4.20","9.89","7.00","0.00","16.2.B"
"251","0","3038200","4.20","9.89","7.00","0.00","16.2.B"
"252","0","3038311","4.20","9.89","7.00","0.00","16.2.B"
"253","0","3038312","4.20","9.89","7.00","0.00","16.2.B"
"254","0","3038319","4.20","9.89","7.00","0.00","16.2.B"
"255","0","3038321","4.20","9.89","7.00","0.00","16.2.B"
"256","0","3038322","4.20","9.89","7.00","0.00","16.2.B"
"257","0","3038329","4.20","9.89","7.00","0.00","16.2.B"
"258","0","3038400","4.20","9.89","7.00","0.00","16.2.B"
"259","0","3038910","4.20","9.89","7.00","0.00","16.2.B"
"260","0","3038920","4.20","9.89","7.00","0.00","16.2.B"
"261","0","3038931","4.20","9.89","7.00","0.00","16.2.B"
"262","0","3038932","4.20","9.89","7.00","0.00","16.2.B"
"263","0","3038933","4.20","9.89","7.00","0.00","16.2.B"
"264","0","3038941","4.20","9.89","7.00","0.00","16.2.B"
"265","0","3038942","4.20","9.89","7.00","0.00","16.2.B"
"266","0","3038943","4.20","9.89","7.00","0.00","16.2.B"
"267","0","3038944","4.20","9.89","7.00","0.00","16.2.B"
"268","0","3038945","4.20","9.89","7.00","0.00","16.2.B"
"269","0","3038946","4.20","9.89","7.00","0.00","16.2.B"
"270","0","3038951","4.20","9.89","7.00","0.00","16.2.B"
"271","0","3038952","4.20","9.89","7.00","0.00","16.2.B"
"272","0","3038953","4.20","9.89","7.00","0.00","16.2.B"
"273","0","3038954","4.20","9.89","7.00","0.00","16.2.B"
"274","0","3038955","4.20","9.89","7.00","0.00","16.2.B"
"275","0","3038956","4.20","9.89","7.00","0.00","16.2.B"
